<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SGDUSD,D,20221106,000000,0.7121000,0.7121000,0.7061000,0.7100000,188
SGDUSD,D,20221107,000000,0.7099000,0.7138000,0.7093000,0.7132000,1514
SGDUSD,D,20221108,000000,0.7134000,0.7158000,0.7114000,0.7149000,1447
SGDUSD,D,20221109,000000,0.7151000,0.7162000,0.7119000,0.7130000,1549
SGDUSD,D,20221110,000000,0.7132000,0.7237000,0.7117000,0.7224000,1677
SGDUSD,D,20221111,000000,0.7228000,0.7291000,0.7210000,0.7285000,1682
SGDUSD,D,20221113,000000,0.7286000,0.7286000,0.7267000,0.7275000,131
SGDUSD,D,20221114,000000,0.7274000,0.7297000,0.7259000,0.7283000,1659
SGDUSD,D,20221115,000000,0.7284000,0.7329000,0.7271000,0.7294000,1879
SGDUSD,D,20221116,000000,0.7296000,0.7317000,0.7267000,0.7298000,1774
SGDUSD,D,20221117,000000,0.7295000,0.7302000,0.7243000,0.7271000,1617
SGDUSD,D,20221118,000000,0.7268000,0.7292000,0.7264000,0.7264000,1517
SGDUSD,D,20221120,000000,0.7263000,0.7280000,0.7255000,0.7268000,142
SGDUSD,D,20221121,000000,0.7268000,0.7272000,0.7226000,0.7236000,1528
SGDUSD,D,20221122,000000,0.7233000,0.7258000,0.7233000,0.7255000,1446
SGDUSD,D,20221123,000000,0.7253000,0.7265000,0.7214000,0.7265000,1351
SGDUSD,D,20221124,000000,0.7266000,0.7290000,0.7258000,0.7265000,1178
SGDUSD,D,20221125,000000,0.7269000,0.7294000,0.7254000,0.7270000,1304
SGDUSD,D,20221127,000000,0.7269000,0.7270000,0.7248000,0.7249000,92
SGDUSD,D,20221128,000000,0.7249000,0.7288000,0.7242000,0.7250000,1330
SGDUSD,D,20221129,000000,0.7247000,0.7291000,0.7243000,0.7268000,1577
SGDUSD,D,20221130,000000,0.7269000,0.7357000,0.7261000,0.7355000,1666
SGDUSD,D,20221201,000000,0.7353000,0.7396000,0.7352000,0.7386000,1663
SGDUSD,D,20221202,000000,0.7384000,0.7413000,0.7353000,0.7390000,1428
SGDUSD,D,20221204,000000,0.7393000,0.7401000,0.7353000,0.7400000,72
SGDUSD,D,20221205,000000,0.7400000,0.7441000,0.7359000,0.7370000,1405
SGDUSD,D,20221206,000000,0.7372000,0.7385000,0.7351000,0.7356000,1435
SGDUSD,D,20221207,000000,0.7359000,0.7385000,0.7346000,0.7377000,1502
SGDUSD,D,20221208,000000,0.7376000,0.7394000,0.7359000,0.7385000,1364
SGDUSD,D,20221209,000000,0.7387000,0.7414000,0.7370000,0.7379000,1349
SGDUSD,D,20221211,000000,0.7387000,0.7390000,0.7360000,0.7383000,154
SGDUSD,D,20221212,000000,0.7383000,0.7397000,0.7367000,0.7379000,1144
SGDUSD,D,20221213,000000,0.7382000,0.7443000,0.7368000,0.7423000,1443
SGDUSD,D,20221214,000000,0.7423000,0.7435000,0.7393000,0.7419000,1438
SGDUSD,D,20221215,000000,0.7418000,0.7425000,0.7339000,0.7346000,1443
SGDUSD,D,20221216,000000,0.7351000,0.7380000,0.7350000,0.7356000,1280
SGDUSD,D,20221218,000000,0.7354000,0.7365000,0.7347000,0.7357000,148
SGDUSD,D,20221219,000000,0.7358000,0.7388000,0.7355000,0.7370000,1381
SGDUSD,D,20221220,000000,0.7370000,0.7411000,0.7361000,0.7399000,1491
SGDUSD,D,20221221,000000,0.7399000,0.7407000,0.7385000,0.7396000,1187
SGDUSD,D,20221222,000000,0.7400000,0.7424000,0.7375000,0.7396000,1327
SGDUSD,D,20221223,000000,0.7395000,0.7418000,0.7384000,0.7400000,1361
SGDUSD,D,20221225,000000,0.7391000,0.7391000,0.7386000,0.7391000,19
